location,population,highestInfectionCount,percentPopulationInfected
Andorra,77265.0,13232.0,17.125477253607713
Montenegro,628062.0,97389.0,15.506271673815643
Czechia,10708982.0,1630758.0,15.227946036327262
San Marino,33938.0,5066.0,14.927220225116388
Slovenia,2078932.0,240292.0,11.558434811720634
Luxembourg,625976.0,67205.0,10.736034608355592
Bahrain,1701583.0,176934.0,10.398199793956568
Serbia,6804596.0,689557.0,10.133694932072382
United States,331002647.0,32346971.0,9.772420641699581
Israel,8655541.0,838481.0,9.687216547180586
Sweden,10099270.0,973604.0,9.640340341430619
Estonia,1326539.0,122019.0,9.198297223074482
Lithuania,2722291.0,247269.0,9.083121532562096
Netherlands,17134873.0,1522973.0,8.888148747878084
Belgium,11589616.0,990229.0,8.544105343956176
Panama,4314768.0,364576.0,8.449492533549892
France,68147687.0,5677835.0,8.33166208561121
Portugal,10196707.0,836493.0,8.203560227826493
Croatia,4105268.0,332183.0,8.091627635516122
Hungary,9660350.0,779348.0,8.067492378640525
Georgia,3989175.0,310310.0,7.778801381237975
Lebanon,6825442.0,526578.0,7.714928937935448
Liechtenstein,38137.0,2926.0,7.672339198154024
Switzerland,8654618.0,659974.0,7.625686078807869
Spain,46754783.0,3524077.0,7.537361471659488
Cyprus,875899.0,65233.0,7.447548176216665
Poland,37846605.0,2792142.0,7.377523030137049
North Macedonia,2083380.0,152367.0,7.313452178671198
Armenia,2963234.0,216064.0,7.291493010676849
Qatar,2881060.0,205652.0,7.138067239141149
Slovakia,5459643.0,382211.0,7.000659200610736
Jordan,10203140.0,711373.0,6.9720987852759055
European Union,444919060.0,30771214.0,6.916137510494606
Brazil,212559409.0,14659011.0,6.896430070522072
Austria,9006400.0,618870.0,6.871446971042814
Malta,441539.0,30292.0,6.860549124765876
Italy,60461828.0,4022653.0,6.653211014394073
Argentina,45195777.0,2977363.0,6.587701766915082
United Kingdom,67886004.0,4432246.0,6.528954038891434
Kuwait,4270563.0,273991.0,6.415805129206618
North America,592072204.0,37529488.0,6.3386674372573655
Latvia,1886202.0,118558.0,6.285540997199663
Chile,19116209.0,1198245.0,6.268214581667317
Monaco,39244.0,2454.0,6.253185200285394
Moldova,4033963.0,250837.0,6.218128426066377
Bosnia and Herzegovina,3280815.0,198461.0,6.049137180852928
Europe,748680069.0,44863478.0,5.992343039119958
Seychelles,98340.0,5873.0,5.972137482204596
Bulgaria,6948445.0,404380.0,5.819719376061839
Palestine,5101416.0,296462.0,5.811366883233989
South America,430759772.0,24878216.0,5.775426958857245
Turkey,84339067.0,4820591.0,5.715727208601916
Uruguay,3473727.0,198428.0,5.712250847576681
Colombia,50882884.0,2859724.0,5.620208162729141
Maldives,540542.0,29835.0,5.519460097457737
Romania,19237682.0,1055265.0,5.485406193947899
Peru,32971846.0,1799445.0,5.457519727588197
Kosovo,1932774.0,103638.0,5.362137528754008
United Arab Emirates,9890400.0,520236.0,5.260009706381946
Ireland,4937796.0,248870.0,5.040102912311485
Costa Rica,5094114.0,250991.0,4.927078585206377
Ukraine,43733759.0,2124070.0,4.856820105493333
Albania,2877800.0,131085.0,4.555042046007367
Denmark,5792203.0,251249.0,4.33771053949594
Cape Verde,555988.0,23882.0,4.295416447837003
Germany,83783945.0,3405365.0,4.064460082417938
Paraguay,7132530.0,279077.0,3.912735032309713
Belarus,9449321.0,358738.0,3.796442093564183
Oman,5106622.0,193253.0,3.7843607770459613
Vatican,809.0,27.0,3.3374536464771323
Greece,10423056.0,345033.0,3.310286349799905
Russia,145934460.0,4750755.0,3.2554031446719303
Canada,37742157.0,1228367.0,3.2546285046718446
Belize,397621.0,12668.0,3.1859484282771784
Azerbaijan,10139175.0,319109.0,3.147287624486213
Iran,83992953.0,2499077.0,2.9753412765473315
South Africa,59308690.0,1581210.0,2.666067991048192
Bahamas,393248.0,10453.0,2.658119049556514
Iraq,40222503.0,1065199.0,2.648266319975164
Tunisia,11818618.0,309119.0,2.6155257746717933
Bolivia,11673029.0,303732.0,2.6019981617453363
Libya,6871287.0,177508.0,2.583329731388021
Saint Lucia,183629.0,4552.0,2.4789112830762026
Dominican Republic,10847904.0,266561.0,2.457258102579079
Ecuador,17643060.0,381862.0,2.1643751140675143
Honduras,9904608.0,212333.0,2.143779945657617
Norway,5421242.0,112970.0,2.0838398285854054
Kazakhstan,18776707.0,375539.0,2.0000258831327558
